"MBEWE GILBERT  - M ,FDD",64,3.68%,2.01%,,,,,
,,,,56,3.22%,"1,737","3,187",55%
WARD: 000103001009 KANDABWAKO,,,,,,,,
"BANDA ACKIM  - M ,PF",592,55.53%,36.08%,,,,,
"ZULU CHRISTOPHER  - M ,MMD",240,22.51%,14.63%,,,,,
"MVULA TIMOTHY  - M ,UPND",155,14.54%,9.45%,,,,,
"PHIRI LEVYSON  - M ,FDD",28,2.63%,1.71%,,,,,
,,,,51,4.78%,"1,066","1,641",65%
WARD: 000103001010 CHILENGA,,,,,,,,
"BANDA ALLAN S - M ,UPND",606,48.79%,26.68%,,,,,
"BANDA JOSEPH  - M ,PF",566,45.57%,24.92%,,,,,
"PHIRI AGNESS  - F ,FDD",39,3.14%,1.72%,,,,,
,,,,31,2.50%,"1,242","2,271",55%
WARD: 000103001011 NAVILURI,,,,,,,,
"MBEWE MISHECK  - M ,MMD",487,36.67%,18.29%,,,,,
"BANDA ANDREW  - M ,PF",459,34.56%,17.24%,,,,,
"BANDA MAURICE  - M ,UPND",293,22.06%,11.00%,,,,,
,,,,89,6.70%,"1,328","2,663",50%
WARD: 000103001012 CHAMANDALA,,,,,,,,
"SAKALA LACKSON  - M ,PF",499,47.43%,28.14%,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"MWALE RICHARD  - M ,MMD",265,25.19% 14.95%,,,,,,
"AMBOKILE CANICIOUS  - M ,UPND",195,18.54% 11.00%,,,,,,
"MBEWE KENNETH  - M ,FDD",56,5.32% 3.16%,,,,,,
,,,37,3.52%,,"1,052","1,773",59%
WARD: 000103001013 KAMPINI,,,,,,,,
"BANDA PENIAS  - M ,PF",721,52.90% 29.94%,,,,,,
"PHIRI REUBEN  - M ,MMD",343,25.17% 14.24%,,,,,,
"BANDA EUNICE  - F ,UPND",240,17.61% 9.97%,,,,,,
,,,59,4.33%,,"1,363","2,408",57%
WARD: 000103001014 TAFERANSONI,,,,,,,,
"MWALE JACKSON  - M ,PF",601,59.39% 29.30%,,,,,,
"BANDA THOMAS  - M ,MMD",189,18.68% 9.22%,,,,,,
"PHIRI NAOMI  - F ,UPND",177,17.49% 8.63%,,,,,,
,,,45,4.45%,,"1,012","2,051",49%
WARD: 000103001015 AMBIDZI,,,,,,,,
"PHIRI BRASTONE  - M ,PF",457,38.47% 19.61%,,,,,,
"BANDA HENRY  - M ,UPND",378,31.82% 16.22%,,,,,,
"BANDA MATHEWS  - M ,MMD",288,24.24% 12.36%,,,,,,
,,,65,5.47%,,"1,188","2,330",51%
WARD: 000103001016 KABVUMO,,,,,,,,
"MVULA JOSIAS  - M ,PF",434,43.79% 29.75%,,,,,,
"PHIRI MABVUTO  - M ,UPND",294,29.67% 20.15%,,,,,,
"BANDA MASAUSO  - M ,MMD",205,20.69% 14.05%,,,,,,
"PHIRI DISMUSS  - M ,FDD",17,1.72% 1.17%,,,,,,
,,,41,4.14%,,991,"1,459",68%
WARD: 000103001017 KHUMBA,,,,,,,,
"SAKALA PETER  - M ,PF",903,59.96% 33.05%,,,,,,
"MBEWE MATHEWS  - M ,MMD",356,23.64% 13.03%,,,,,,
"MWEEMBA ALFRED K - M ,UPND",173,11.49% 6.33%,,,,,,
,,,74,4.91%,,"1,506","2,732",55%
WARD: 000103001018 MWANGAZI,,,,,,,,
"MWALE MANYONI  - M ,PF",761,60.25% 28.50%,,,,,,
"MVURA LEVISON  - M ,UPND",437,34.60% 16.37%,,,,,,
,,,65,5.15%,,"1,263","2,670",47%
,,"01030039 ,CHIPANGALI CONSTITUENCY",,,,,,
WARD: 000103002013 SISINJE,,,,,,,,
"DAKA ELIJAH C P - M ,PF","2,586",63.06% 28.50%,,,,,,
"BANDA MAVUTO H - M ,UPND","1,228",29.94% 13.53%,,,,,,
"ZULU RABSON  - M ,FDD",152,3.71% 1.68%,,,,,,
,,,135,3.29%,,"4,101","9,074",45%
WARD: 000103002014 NTHOPE,,,,,,,,
"MASEKO TEDSON  - M ,PF","1,949",55.40% 23.33%,,,,,,
"BANDA ABINALA  - M ,UPND","1,193",33.91% 14.28%,,,,,,
"MWALE BIX  - M ,MMD",260,7.39% 3.11%,,,,,,
,,,116,3.30%,,"3,518","8,354",42%
WARD: 000103002015 CHIPANGALI,,,,,,,,
"SHUMBA KENNEDY  - M ,PF","2,550",70.15% 30.22%,,,,,,
"N'GONA LUCKY  - M ,UPND",618,17.00% 7.32%,,,,,,
"NYIRENDA BEAUTY  - F ,FDD",331,9.11% 3.92%,,,,,,
,,,136,3.74%,,"3,635","8,439",43%
WARD: 000103002016 KASENGA,,,,,,,,
"BANDA NOAH  - M ,PF","1,581",53.29% 25.77%,,,,,,
"MWALE WILSON  - M ,UPND",998,33.64% 16.27%,,,,,,
"KAMUNGU SYLUVIAS  - M ,UNIP",128,4.31% 2.09%,,,,,,
"MWALE PESULANI W C - M ,FDD",123,4.15% 2.00%,,,,,,
"NGOMA CRYSON  - M ,MMD",39,1.31% 0.64%,,,,,,
,,,98,3.30%,,"2,967","6,135",48%
WARD: 000103002018 MSANDILE,,,,,,,,
"PHIRI GRACE  - F ,PF","2,950",60.23% 28.36%,,,,,,
"MOYO ISAC  - M ,MMD",886,18.09% 8.52%,,,,,,
"PHIRI REUBEN  - M ,UPND",536,10.94% 5.15%,,,,,,
"JERE WILSON  - M ,FDD",300,6.12% 2.88%,,,,,,
,,,226,4.61%,,"4,898","10,402",47%
,,"01030040 ,CHIPATA CENTRAL CONSTITUENCY",,,,,,
WARD: 000103002019 MSANGA,,,,,,,,
"JERE MWAKUTA  - M ,PF","3,468",48.40% 27.06%,,,,,,
"MWANZA ELIDAH B - F ,UPND","1,475",20.59% 11.51%,,,,,,
"BANDA ALICK  - M ,MMD","1,035",14.45% 8.07%,,,,,,
"MCGREGOR IAN B - M ,FDD",943,13.16% 7.36%,,,,,,
,,,244,3.41%,,"7,165","12,818",56%
WARD: 000103002020 KANJALA,,,,,,,,
"PHIRI WILLIAM  - M ,PF","4,147",62.51% 32.17%,,,,,,
"PHIRI CHAPEWA  - M ,UPND","1,178",17.76% 9.14%,,,,,,
"PHIRI DANIEL  - M ,MMD",729,10.99% 5.66%,,,,,,
"KATONGO JUDITH  - F ,FDD",248,3.74% 1.92%,,,,,,
"NEWA ROBERT  - M ,RAINBOW",113,1.70% 0.88%,,,,,,
,,,219,3.30%,,"6,634","12,891",51%
WARD: 000103002021 DILIKA,,,,,,,,
"PHIRI SAMUEL  - M ,PF","5,482",58.71% 30.36%,,,,,,
"BANDA HARRY  - M ,MMD","1,504",16.11% 8.33%,,,,,,
"KUMWENDA GRACE  - M ,UPND","1,499",16.05% 8.30%,,,,,,
"ZULU GIBSON  - M ,RAINBOW",285,3.05% 1.58%,,,,,,
"KALABA PERVIOS  - M ,FDD",222,2.38% 1.23%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,345,3.69%,,"9,337","18,055",52%
WARD: 000103002022 KAPATA,,,,,,,,
"BANDA NAPHTALI C - M ,PF","6,205",57.79% 28.18%,,,,,,
"BANDA YONA  - M ,MMD","1,881",17.52% 8.54%,,,,,,
"KATONTOKA JOHN  - M ,UPND","1,610",14.99% 7.31%,,,,,,
"MANDA ISAIAH  - M ,RAINBOW",500,4.66% 2.27%,,,,,,
"PHIRI ESNART  - F ,FDD",291,2.71% 1.32%,,,,,,
,,,251,2.34%,,"10,738","22,017",49%
,,"01030041 ,KASENENGWA CONSTITUENCY",,,,,,
WARD: 000103002006 MAKUNGWA,,,,,,,,
"MITI ALEXANDER  - M ,PF","2,438",79.83% 36.94%,,,,,,
"MILANZI SHADRECK  - M ,UPND",247,8.09% 3.74%,,,,,,
"NEWA JOSIAS  - M ,RAINBOW",204,6.68% 3.09%,,,,,,
"SHUMBA MATTHEWS  - M ,FDD",74,2.42% 1.12%,,,,,,
,,,91,2.98%,,"3,054","6,599",46%
WARD: 000103002007 CHINGAZI,,,,,,,,
"MBEWE TSHOMBE  - M ,PF","1,275",51.70% 21.25%,,,,,,
"MBEWE GABRIEL  - M ,MMD",663,26.89% 11.05%,,,,,,
"TEMBO MASAUSO  - M ,RAINBOW",262,10.62% 4.37%,,,,,,
"BANDA MASAUSO  - M ,UPND",176,7.14% 2.93%,,,,,,
,,,90,3.65%,,"2,466","5,999",41%
WARD: 000103002008 KWENJE,,,,,,,,
"JERE PETER  - M ,PF","2,899",59.65% 24.73%,,,,,,
"MWANZA PATSON  - M ,RAINBOW","1,008",20.74% 8.60%,,,,,,
"SAKALA ELIYA  - M ,UPND",767,15.78% 6.54%,,,,,,
,,,186,3.83%,,"4,860","11,724",41%
WARD: 000103002009 NG‰ÛªONGWE,,,,,,,,
"DAKA ISAAC  - M ,PF","1,881",51.27% 28.54%,,,,,,
"MBEWE MICKY  - M ,UPND",608,16.57% 9.23%,,,,,,
"MSONI LUCKSON  - M ,MMD",475,12.95% 7.21%,,,,,,
"PHIRI MOSES  - M ,RAINBOW",364,9.92% 5.52%,,,,,,
"BANDA WILLIAM  - M ,FDD",204,5.56% 3.10%,,,,,,
,,,137,3.73%,,"3,669","6,590",56%
WARD: 000103002010 MKOWE,,,,,,,,
"HARA RODGERS  - M ,MMD",800,35.63% 17.60%,,,,,,
"SAKALA EDWARD  - M ,PF",782,34.83% 17.20%,,,,,,
"MWENDA PETER L - M ,UPND",317,14.12% 6.97%,,,,,,
"NGWENYA ABEL  - M ,RAINBOW",145,6.46% 3.19%,,,,,,
"ZULU DAVIS  - M ,IND",88,3.92% 1.94%,,,,,,
"MBEWE NATHAN  - M ,FDD",40,1.78% 0.88%,,,,,,
,,,73,3.25%,,"2,245","4,546",49%
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
WARD: 000103002011 MBOZA,,,,,,,,
"BANDA DAVID  - M ,PF","2,159",74.84% 37.34%,,,,,,
"PHIRI PATSON  - M ,RAINBOW",604,20.94% 10.45%,,,,,,
,,,122,,4.23%,"2,885","5,782",50%
WARD: 000103002012 CHIPARAMBA,,,,,,,,
"SOKO FALESI J - F ,PF","1,938",46.74% 22.54%,,,,,,
"MWALE EDACK A - M ,IND","1,442",34.78% 16.77%,,,,,,
"BANDA SOLOMON  - M ,UPND",409,9.86% 4.76%,,,,,,
"MITI CHRISTOPHER  - M ,RAINBOW",163,3.93% 1.90%,,,,,,
,,,194,,4.68%,"4,146","8,597",48%
,,"01030042 ,LUANGENI CONSTITUENCY",,,,,,
WARD: 000103002001 NSINGO,,,,,,,,
"MITI CHISONI  - M ,PF","5,196",69.81% 37.15%,,,,,,
"NG'OMBE JOHN  - M ,UPND","1,090",14.64% 7.79%,,,,,,
"MWANZA RODGERS  - M ,MMD",306,4.11% 2.19%,,,,,,
"SITABUSIHU NAWA  - F ,RAINBOW",301,4.04% 2.15%,,,,,,
"BANDA GABRIEL  - M ,UNIP",215,2.89% 1.54%,,,,,,
"MSHANGA HENRY K - M ,FDD",102,1.37% 0.73%,,,,,,
,,,233,,3.13%,"7,443","13,985",53%
WARD: 000103002002 KHOVA,,,,,,,,
"DAKA ENOCK  - M ,PF","3,181",63.08% 32.77%,,,,,,
"ZIWA STANLEY  - M ,MMD",873,17.31% 8.99%,,,,,,
"BANDA WILBRODY  - M ,UPND",721,14.30% 7.43%,,,,,,
"JERE PRESCILLA  - F ,FDD",119,2.36% 1.23%,,,,,,
,,,149,,2.95%,"5,043","9,708",52%
WARD: 000103002003 MAKANGILA,,,,,,,,
"MWANZA DANIEL  - M ,MMD","1,120",40.98% 22.37%,,,,,,
"BANDA DAVID  - M ,PF",806,29.49% 16.10%,,,,,,
"MOYO GEORGE  - M ,UPND",617,22.58% 12.32%,,,,,,
"LUNGU AARON  - M ,FDD",79,2.89% 1.58%,,,,,,
,,,111,,4.06%,"2,733","5,007",55%
WARD: 000103002004 CHIKANDO,,,,,,,,
"BANDA GOODSON  - M ,PF","1,625",48.46% 22.43%,,,,,,
"ZULU JOSTO  - M ,MMD",920,27.44% 12.70%,,,,,,
"LUNGU ALBERT A - M ,UPND",708,21.12% 9.77%,,,,,,
,,,100,,2.98%,"3,353","7,246",46%
WARD: 000103002005 KAZIMULE,,,,,,,,
"SIWO JOSTLE  - M ,PF",691,46.85% 23.90%,,,,,,
"MSONI THOMSON  - M ,MMD",400,27.12% 13.84%,,,,,,
"MSHANGA PENIAS  - M ,UPND",256,17.36% 8.86%,,,,,,
"NGOMA JOSEPH  - M ,FDD",88,5.97% 3.04%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,,PAPERS %,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,40,,2.71%,"1,475","2,891",51%
,,"01030043 ,MILANZI CONSTITUENCY",,,,,,
WARD: 000103003001 KAFUMBWE,,,,,,,,
"BANDA PETER  - M ,PF","1,260",62.10% 29.82%,,,,,,
"PHIRI MATHEWS  - M ,UPND",411,20.26% 9.73%,,,,,,
"BANDA MARTIN  - M ,FDD",248,12.22% 5.87%,,,,,,
,,,110,,5.42%,"2,029","4,225",48%
WARD: 000103003002 KAZALA,,,,,,,,
"WILIMA ALICK  - M ,PF","1,127",55.22% 29.01%,,,,,,
"TEMBO CHEMIST  - M ,MMD",408,19.99% 10.50%,,,,,,
"KHONDOWE RICHARD  - M ,UPND",291,14.26% 7.49%,,,,,,
"PHIRI FRANCISCO  - M ,FDD",94,4.61% 2.42%,,,,,,
,,,121,,5.93%,"2,041","3,885",53%
WARD: 000103003003 MILANZI,,,,,,,,
"PHIRI STEPHEN  - M ,PF",484,49.34% 33.29%,,,,,,
"PHIRI KWEZEKANI  - M ,FDD",255,25.99% 17.54%,,,,,,
"SAKALA MABVUTO  - M ,UPND",205,20.90% 14.10%,,,,,,
,,,37,,3.77%,981,"1,454",67%
WARD: 000103003004 KAPOCHE,,,,,,,,
"MWALE YELESANI  - M ,PF",512,49.95% 25.30%,,,,,,
"BANDA MATHIAS  - M ,UPND",276,26.93% 13.64%,,,,,,
"BANDA RICHARD  - M ,FDD",196,19.12% 9.68%,,,,,,
,,,41,,4.00%,"1,025","2,024",51%
WARD: 000103003005 CHINDWALE,,,,,,,,
"BANDA JOHN  - M ,UPND",447,51.62% 26.80%,,,,,,
"BANDA MBIRI  - M ,FDD",332,38.34% 19.90%,,,,,,
,,,87,,10.05%,866,"1,668",52%
WARD: 000103003006 KAPANGULULA,,,,,,,,
"MBEWE FELIX  - M ,PF","1,807",72.11% 38.12%,,,,,,
"PHIRI JOSEPH  - M ,FDD",425,16.96% 8.97%,,,,,,
"PHIRI EMMANUEL  - M ,UPND",198,7.90% 4.18%,,,,,,
,,,76,,3.03%,"2,506","4,740",53%
WARD: 000103003007 DOLE,,,,,,,,
"ZULU LUMANKIO  - M ,PF","1,718",71.11% 38.82%,,,,,,
"TEMBO BISALOMO  - M ,IND",552,22.85% 12.47%,,,,,,
,,,146,,6.04%,"2,416","4,425",55%
WARD: 000103003008 CHIMWA,,,,,,,,
"BANDA LEMEKANI  - M ,PF","1,126",79.52% 44.40%,,,,,,
"PHIRI CLEMENT  - M ,UPND",164,11.58% 6.47%,,,,,,
"SAKALA TRESSA  - F ,FDD",58,4.10% 2.29%,,,,,,
,,,68,,4.80%,"1,416","2,536",56%
WARD: 000103003009 KATIULA,,,,,,,,
"BANDA FRANCIS  - M ,PF",884,58.66% 30.95%,,,,,,
"PHIRI STARZIO  - M ,FDD",322,21.37% 11.27%,,,,,,
"PHIRI EPULANI  - M ,UPND",226,15.00% 7.91%,,,,,,
,,,75,,4.98%,"1,507","2,856",53%
WARD: 000103003010 KAMPHAMBE,,,,,,,,
"MVULA BENARD  - M ,PF",559,76.47% 28.16%,,,,,,
"PHIRI ANDREW  - M ,UPND",144,19.70% 7.25%,,,,,,
,,,28,,3.83%,731,"1,985",37%
WARD: 000103003011 MWANDAFISI,,,,,,,,
"MWALE DAVID  - M ,PF",304,53.90% 26.46%,,,,,,
"PHIRI DANIEL  - M ,UPND",240,42.55% 20.89%,,,,,,
,,,20,,3.55%,564,"1,149",49%
,,"01030044 ,MKAIKA CONSTITUENCY",,,,,,
WARD: 000103003012 MPHANGWE,,,,,,,,
"MKANDA HARRIS  - M ,PF","2,935",55.37% 26.98%,,,,,,
"MWALE ANDREW  - M ,UPND","1,029",19.41% 9.46%,,,,,,
"LITONGOLA MARGARET  - F ,MMD",826,15.58% 7.59%,,,,,,
"CHIMWALA SIMON  - M ,FDD",259,4.89% 2.38%,,,,,,
,,,252,,4.75%,"5,301","10,877",49%
WARD: 000103003013 CHAVUKA,,,,,,,,
"MWALE SAMUEL  - M ,PF","1,292",45.90% 25.09%,,,,,,
"PHIRI PENIAS  - M ,MMD",866,30.76% 16.82%,,,,,,
"PHIRI ISAAC  - M ,UPND",402,14.28% 7.81%,,,,,,
"PHIRI ALICK  - M ,FDD",73,2.59% 1.42%,,,,,,
,,,182,,6.47%,"2,815","5,149",55%
WARD: 000103003014 KADULA,,,,,,,,
"BANDA SAMUEL  - M ,MMD","1,788",58.53% 29.95%,,,,,,
"MWANZA MABVUTO R - M ,PF",761,24.91% 12.75%,,,,,,
"BANDA METHODIO  - M ,IND",188,6.15% 3.15%,,,,,,
"SAKALA ABRAHAM  - M ,FDD",98,3.21% 1.64%,,,,,,
,,,220,,7.20%,"3,055","5,969",51%
WARD: 000103003015 VULAMKOKO,,,,,,,,
"BANDA DAVYSON  - M ,PF","1,060",45.05% 22.38%,,,,,,
"BANDA BROWN  - M ,MMD",658,27.96% 13.89%,,,,,,
"TEMBO DAVID  - M ,UPND",518,22.01% 10.94%,,,,,,
,,,117,,4.97%,"2,353","4,736",50%
WARD: 000103003016 CHIMTENDE,,,,,,,,
"LUNGU KACHONKA L - M ,MMD","1,020",41.01% 22.77%,,,,,,
"PHIRI PASCAR  - M ,PF",818,32.89% 18.26%,,,,,,
"PHIRI MANDAALIZA  - M ,FDD",442,17.77% 9.87%,,,,,,
"ZULU WILSON  - M ,UPND",88,3.54% 1.96%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,119,,4.78%,"2,487","4,479",56%
WARD: 000103003017 LUKWETA,,,,,,,,
"BANDA DAVID  - M ,PF",464,39.16% 20.88%,,,,,,
"PHIRI VINCENT  - M ,MMD",402,33.92% 18.09%,,,,,,
"MBEWE PARTSON  - M ,IND",139,11.73% 6.26%,,,,,,
"PHIRI MAZUNZO  - M ,UPND",108,9.11% 4.86%,,,,,,
"LUNGU CHARLES  - M ,FDD",29,2.45% 1.31%,,,,,,
,,,43,,3.63%,"1,185","2,222",53%
WARD: 000103003018 CHILONGAMABWE,,,,,,,,
"MVULA FREDRICK  - M ,PF",587,56.88% 30.29%,,,,,,
"MBEWE SALATIEL  - M ,MMD",199,19.28% 10.27%,,,,,,
"BANDA VICTORIA  - F ,FDD",156,15.12% 8.05%,,,,,,
"MUSAKA KINGFREY  - M ,UPND",36,3.49% 1.86%,,,,,,
,,,54,,5.23%,"1,032","1,938",53%
WARD: 000103003019 MKAIKA,,,,,,,,
"PHIRI MARTHA  - F ,PF","1,338",65.33% 32.83%,,,,,,
"TEMBO EDWARD  - M ,UPND",304,14.84% 7.46%,,,,,,
"PHIRI SAMSON  - M ,MMD",287,14.01% 7.04%,,,,,,
,,,119,,5.81%,"2,048","4,075",50%
WARD: 000103003020 MATUNGA,,,,,,,,
"LUNGU ALLAN  - M ,PF","1,156",50.24% 27.96%,,,,,,
"MALUNGA PETER  - M ,MMD",667,28.99% 16.13%,,,,,,
"PHIRI PETER J C - M ,UPND",341,14.82% 8.25%,,,,,,
"NGOMA HAPPY  - M ,FDD",36,1.56% 0.87%,,,,,,
,,,101,,4.39%,"2,301","4,135",56%
,,"01030045 ,CHASEFU CONSTITUENCY",,,,,,
WARD: 000103004001 MANDA HILL,,,,,,,,
"MKANDAWIRE PETHIAS  - M ,PF","1,266",58.18% 26.08%,,,,,,
"CHINULA FRACKSON  - M ,FDD",576,26.47% 11.87%,,,,,,
"NGALA STEPHEN  - M ,UPND",259,11.90% 5.34%,,,,,,
,,,75,,3.45%,"2,176","4,854",45%
WARD: 000103004002 SUSA,,,,,,,,
"ZULU ALICK  - M ,PF","1,968",80.13% 39.45%,,,,,,
"NGOYI FELIX  - M ,FDD",224,9.12% 4.49%,,,,,,
"MOYO ALFRED  - M ,UPND",196,7.98% 3.93%,,,,,,
,,,68,,2.77%,"2,456","4,989",49%
WARD: 000103004003 MAGODI,,,,,,,,
"HARA MTWALO  - M ,PF","2,214",69.80% 31.30%,,,,,,
"CHAVULA BORNFACE  - M ,UPND",646,20.37% 9.13%,,,,,,
"NYIRENDA HARRY  - M ,FDD",118,3.72% 1.67%,,,,,,
"KUMWENDA BLACKSON  - M ,MMD",98,3.09% 1.39%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,,PAPERS %,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"MBALE EMMANUEL  - M ,RAINBOW",24,0.76% 0.34%,,,,,,
,,,72,,2.27%,"3,172","7,074",45%
WARD: 000103004004 KAJILIME,,,,,,,,
"MTIKA DAVID  - M ,PF",716,50.10% 17.77%,,,,,,
"BANDA INNOCENT  - M ,UPND",389,27.22% 9.66%,,,,,,
"MKANDAWIRE KWAMBILO  - M ,MMD",164,11.48% 4.07%,,,,,,
"NYIRONGO CHRISTONE  - M ,FDD",92,6.44% 2.28%,,,,,,
"MAGABA MKONDA  - M ,RAINBOW",31,2.17% 0.77%,,,,,,
,,,37,,2.59%,"1,429","4,029",35%
WARD: 000103004005 LUWEREZI,,,,,,,,
"GONDWE CHILIBWE  - M ,PF","1,533",59.95% 23.90%,,,,,,
"NYIRENDA JOSHUA  - M ,UPND",441,17.25% 6.88%,,,,,,
"MTONGA SILVESTER  - M ,FDD",363,14.20% 5.66%,,,,,,
"NYIRONGO BASIL  - M ,MMD",148,5.79% 2.31%,,,,,,
,,,72,,2.82%,"2,557","6,414",40%
WARD: 000103004006 KAPILISANGA,,,,,,,,
"MKANDAWIRE SALOME  - M ,PF","1,882",66.53% 31.37%,,,,,,
"BANDA MAFAYO  - M ,UPND",639,22.59% 10.65%,,,,,,
"ZIMBA MARTIN  - M ,FDD",167,5.90% 2.78%,,,,,,
"NYIRENDA MUZIPASI  - M ,MMD",48,1.70% 0.80%,,,,,,
"NDHLOVU AMON  - M ,RAINBOW",12,0.42% 0.20%,,,,,,
,,,81,,2.86%,"2,829","6,000",47%
WARD: 000103004007 MEMBE,,,,,,,,
"LUHANA ADAMS  - M ,PF","1,238",70.22% 34.07%,,,,,,
"MTONGA SAMSON  - M ,UPND",306,17.36% 8.42%,,,,,,
"ZIBA MTHINI HR - M ,FDD",107,6.07% 2.94%,,,,,,
"NYASULU RODGERS  - M ,MMD",28,1.59% 0.77%,,,,,,
"MKANDAWIRE PETROS  - M ,RAINBOW",27,1.53% 0.74%,,,,,,
,,,57,,3.23%,"1,763","3,634",49%
WARD: 000103004008 CHABOLI,,,,,,,,
"ZIMBA KENNEDY  - M ,PF","1,467",69.66% 30.56%,,,,,,
"NKHATA ALICK  - M ,UPND",389,18.47% 8.10%,,,,,,
"ZGAMBO SKINNER  - M ,FDD",186,8.83% 3.87%,,,,,,
,,,64,,3.04%,"2,106","4,801",44%
WARD: 000103004009 NKHANGA,,,,,,,,
"BANDA OBOTE  - M ,PF","1,736",59.92% 23.48%,,,,,,
"MSIMUKO MOSES  - M ,FDD",583,20.12% 7.89%,,,,,,
"HARA ROCKEN  - M ,UPND",423,14.60% 5.72%,,,,,,
"NGOMA LAMECK  - M ,RAINBOW",46,1.59% 0.62%,,,,,,
,,,109,,3.76%,"2,897","7,393",39%
,,"01030046 ,LUMEZI CONSTITUENCY",,,,,,
,VOTES OBTAINED,% AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST,REGISTERED,VOTES,PAPERS %,CAST,VOTERS,TURNOUT
,,,VOTERS,,,,,
WARD: 000103004010 KAZEMBE,,,,,,,,
"MITI EMMANUEL  - M ,IND",961,48.27%,26.60%,,,,,
"ZIMBA RUEBEN  - M ,PF",620,31.14%,17.16%,,,,,
"BANDA MOLE  - M ,UPND",272,13.66%,7.53%,,,,,
"MPHALO GABRIEL  - M ,RAINBOW",92,4.62%,2.55%,,,,,
"NGULUBE SMART  - M ,FDD",9,0.45%,0.25%,,,,,
,,,,37,1.86%,"1,991","3,613",55%
WARD: 000103004011 WACHITANGACHI,,,,,,,,
"MTONGA ROY  - M ,PF","2,660",70.65%,24.81%,,,,,
"NYIKA MOSES  - M ,UPND",658,17.48%,6.14%,,,,,
"BANDA JOSEPH  - M ,RAINBOW",335,8.90%,3.12%,,,,,
,,,,112,2.97%,"3,765","10,723",35%
WARD: 000103004012 CHAMTOWA,,,,,,,,
"MTONGA NELIA  - F ,PF","1,092",44.21%,18.42%,,,,,
"MWANZA DAVIES  - M ,FDD",503,20.36%,8.49%,,,,,
"BANDA JUVENSIO  - M ,UPND",463,18.74%,7.81%,,,,,
"CHIRWA GOWOKANI  - M ,MMD",221,8.95%,3.73%,,,,,
"LUNGU KELVIN  - M ,RAINBOW",86,3.48%,1.45%,,,,,
,,,,105,4.25%,"2,470","5,928",42%
WARD: 000103004013 KACHAMA,,,,,,,,
"PHIRI FRACKWELL  - M ,PF",640,43.24%,18.94%,,,,,
"MPHANDE PETER  - M ,UPND",423,28.58%,12.52%,,,,,
"NYIRENDA ISAAC  - M ,RAINBOW",362,24.46%,10.71%,,,,,
,,,,55,3.72%,"1,480","3,379",44%
WARD: 000103004014 KAMIMBA,,,,,,,,
"BANDA NASAUKA  - M ,PF","1,548",60.21%,25.26%,,,,,
"MVULA TIMEYO  - M ,UPND",784,30.49%,12.79%,,,,,
"NYIRENDA CHIMUSEU  - M ,RAINBOW",91,3.54%,1.48%,,,,,
"PHIRI WHYLOSS  - M ,FDD",73,2.84%,1.19%,,,,,
,,,,75,2.92%,"2,571","6,128",42%
WARD: 000103004015 LUMIMBA,,,,,,,,
"ZULU FELIX  - M ,PF",967,50.76%,26.11%,,,,,
"BANDA ALICK  - M ,RAINBOW",908,47.66%,24.52%,,,,,
,,,,30,1.57%,"1,905","3,703",51%
WARD: 000103004016 LUKUSUZI,,,,,,,,
"MWANZA MUBANGA  - F ,PF",977,59.79%,33.38%,,,,,
"MANDA RODGERS  - M ,RAINBOW",594,36.35%,20.29%,,,,,
,,,,63,3.86%,"1,634","2,927",56%
WARD: 000103004017 CHIBANDE,,,,,,,,
"SAKALA JUMBE  - M ,PF",799,54.80%,32.27%,,,,,
"MBEWE MUSAMBA  - M ,UPND",556,38.13%,22.46%,,,,,
