prov,council,cons,candid,party,votes,pct_cast,pct_registered,rejected,pct_rejected,cast,registered,turnout
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,009",3.7,2.4,,,,,
,,,MIYANDA Godfrey K,HP,281,1.03,0.67,,,,,
,,,NGONDO Winright K,APC,112,0.41,0.27,,,,,
,,,,,"26,864",98.59,64.01,384,1.41,"27,248","41,968",64.93
,MILENGE,060 Chembe,MWANAWASA Levy,MMD,"4,831",61.97,40.89,,,,,
,,,SATA Michael M.C,PF,"2,339",30,19.8,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",491,6.3,4.16,,,,,
,,,MIYANDA Godfrey K,HP,76,0.97,0.64,,,,,
,,,NGONDO Winright K,APC,29,0.37,0.25,,,,,
,,,,,"7,766",99.62,65.74,30,0.38,"7,796","11,814",65.99
,MWENSE,062 Chipili,SATA Michael M.C,PF,"4,825",59.58,44.34,,,,,
,,,MWANAWASA Levy,MMD,"2,708",33.44,24.89,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",305,3.77,2.8,,,,,
,,,NGONDO Winright K,APC,54,0.67,0.5,,,,,
,,,MIYANDA Godfrey K,HP,37,0.46,0.34,,,,,
,,,,,"7,929",97.91,72.87,169,2.09,"8,098","10,881",74.42
,,063 Mambilima,SATA Michael M.C,PF,"3,373",45.97,28.04,,,,,
,,,MWANAWASA Levy,MMD,"2,485",33.87,20.66,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,155",15.74,9.6,,,,,
,,,NGONDO Winright K,APC,94,1.28,0.78,,,,,
,,,MIYANDA Godfrey K,HP,73,0.99,0.61,,,,,
,,,,,"7,180",97.86,59.69,157,2.14,"7,337","12,028",61
,,064 Mwense,SATA Michael M.C,PF,"8,403",67.39,43.19,,,,,
,,,MWANAWASA Levy,MMD,"3,036",24.35,15.6,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",726,5.82,3.73,,,,,
,,,MIYANDA Godfrey K,HP,83,0.67,0.43,,,,,
,,,NGONDO Winright K,APC,59,0.47,0.3,,,,,
,,,,,"12,307",98.69,63.26,163,1.31,"12,470","19,456",64.09
,CHIENGI,065 Chiengi,SATA Michael M.C,PF,"9,862",56.25,26.32,,,,,
,,,MWANAWASA Levy,MMD,"6,578",37.52,17.56,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",359,2.05,0.96,,,,,
,,,NGONDO Winright K,APC,133,0.76,0.35,,,,,
,,,MIYANDA Godfrey K,HP,123,0.7,0.33,,,,,
,,,,,"17,055",97.27,45.52,478,2.73,"17,533","37,470",46.79
LUAPULA,NCHELENGE,066 Nchelenge,SATA Michael M.C,PF,"14,432",60.21,31.61,,,,,
,,,MWANAWASA Levy,MMD,"8,162",34.05,17.88,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",891,3.72,1.95,,,,,
,,,MIYANDA Godfrey K,HP,242,1.01,0.53,,,,,
,,,NGONDO Winright K,APC,241,1.01,0.53,,,,,
,,,,,"23,968",100,52.5,0,0,"23,968","45,650",52.5
,SAMFYA,067 Bangweulu,SATA Michael M.C,PF,"15,770",67.42,47.08,,,,,
,,,MWANAWASA Levy,MMD,"5,237",22.39,15.64,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,530",6.54,4.57,,,,,
,,,MIYANDA Godfrey K,HP,248,1.06,0.74,,,,,
,,,NGONDO Winright K,APC,155,0.66,0.46,,,,,
,,,,,"22,940",98.08,68.49,449,1.92,"23,389","33,494",69.83
,,068 Chifunabuli,SATA Michael M.C,PF,"10,669",57.67,39.01,,,,,
,,,MWANAWASA Levy,MMD,"6,486",35.06,23.72,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",525,2.84,1.92,,,,,
,,,MIYANDA Godfrey K,HP,195,1.05,0.71,,,,,
,,,NGONDO Winright K,APC,177,0.96,0.65,,,,,
,,,,,"18,052",97.57,66.01,449,2.43,"18,501","27,346",67.66
,,069 Luapula,SATA Michael M.C,PF,"4,676",66.13,50.1,,,,,
,,,MWANAWASA Levy,MMD,"2,209",31.24,23.67,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",65,0.92,0.7,,,,,
,,,NGONDO Winright K,APC,50,0.71,0.54,,,,,
,,,MIYANDA Godfrey K,HP,46,0.65,0.49,,,,,
,,,,,"7,046",99.65,75.49,25,0.35,"7,071","9,334",75.76
LUSAKA,CHONGWE,073 Chongwe,MWANAWASA Levy,MMD,"16,650",60.02,41.27,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","5,702",20.55,14.13,,,,,
,,,SATA Michael M.C,PF,"4,916",17.72,12.19,,,,,
,,,MIYANDA Godfrey K,HP,316,1.14,0.78,,,,,
,,,NGONDO Winright K,APC,157,0.57,0.39,,,,,
,,,,,"27,741",100,68.76,0,0,"27,741","40,342",68.76
,,074 Rufunsa,MWANAWASA Levy,MMD,"7,080",69.91,47.45,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,126",20.99,14.25,,,,,
,,,SATA Michael M.C,PF,733,7.24,4.91,,,,,
,,,MIYANDA Godfrey K,HP,122,1.2,0.82,,,,,
,,,NGONDO Winright K,APC,66,0.65,0.44,,,,,
,,,,,"10,127",100,67.87,0,0,"10,127","14,921",67.87
LUSAKA,KAFUE,070 Kafue,MWANAWASA Levy,MMD,"11,629",45.04,32.18,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","9,542",36.96,26.41,,,,,
,,,SATA Michael M.C,PF,"3,858",14.94,10.68,,,,,
,,,MIYANDA Godfrey K,HP,404,1.56,1.12,,,,,
,,,NGONDO Winright K,APC,76,0.29,0.21,,,,,
,,,,,"25,509",98.8,70.6,309,1.2,"25,818","36,133",71.45
,,072 Chilanga,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","6,984",37.67,26.24,,,,,
,,,MWANAWASA Levy,MMD,"6,029",32.52,22.65,,,,,
,,,SATA Michael M.C,PF,"4,871",26.27,18.3,,,,,
,,,MIYANDA Godfrey K,HP,229,1.24,0.86,,,,,
,,,NGONDO Winright K,APC,65,0.35,0.24,,,,,
,,,,,"18,178",98.04,68.29,364,1.96,"18,542","26,618",69.66
,LUANGWA,071 Feira,MWANAWASA Levy,MMD,"3,664",53.72,42.03,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,568",22.99,17.99,,,,,
,,,SATA Michael M.C,PF,"1,353",19.84,15.52,,,,,
,,,MIYANDA Godfrey K,HP,71,1.04,0.81,,,,,
,,,NGONDO Winright K,APC,51,0.75,0.58,,,,,
,,,,,"6,707",98.33,76.93,114,1.67,"6,821","8,718",78.24
,LUSAKA,075 Chawama,SATA Michael M.C,PF,"21,537",55.85,37.24,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",8569,22.22,14.82,,,,,
,,,MWANAWASA Levy,MMD,7966,20.66,13.77,,,,,
,,,MIYANDA Godfrey K,HP,374,0.97,0.65,,,,,
,,,NGONDO Winright K,APC,114,0.3,0.2,,,,,
,,,,,"38,560",100,66.67,0,0,"38,560","57,833",66.67
,,076 Kabwata,SATA Michael M.C,PF,"25,329",61.42,45.39,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","8,098",19.64,14.51,,,,,
,,,MWANAWASA Levy,MMD,"7,088",17.19,12.7,,,,,
,,,MIYANDA Godfrey K,HP,666,1.62,1.19,,,,,
,,,NGONDO Winright K,APC,56,0.14,0.1,,,,,
,,,,,"41,237",100,73.9,0,0,"41,237","55,799",73.9
,,077 Kanyama,SATA Michael M.C,PF,"20,384",45.65,30.43,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","13,324",29.84,19.89,,,,,
,,,MWANAWASA Levy,MMD,"10,241",22.94,15.29,,,,,
,,,MIYANDA Godfrey K,HP,549,1.23,0.82,,,,,
,,,NGONDO Winright K,APC,153,0.34,0.23,,,,,
,,,,,"44,651",100,66.66,0,0,"44,651","66,984",66.66
LUSAKA,LUSAKA,078 Lusaka Central,SATA Michael M.C,PF,"20,309",56.45,42.27,,,,,
,,,MWANAWASA Levy,MMD,"7,527",20.92,15.67,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","7,501",20.85,15.61,,,,,
,,,MIYANDA Godfrey K,HP,592,1.65,1.23,,,,,
,,,NGONDO Winright K,APC,50,0.14,0.1,,,,,
,,,,,"35,979",100,74.88,0,0,"35,979","48,048",74.88
,,079 Mandevu,SATA Michael M.C,PF,"35,176",61.43,42.59,,,,,
,,,MWANAWASA Levy,MMD,"13,197",23.05,15.98,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","7,941",13.87,9.61,,,,,
,,,MIYANDA Godfrey K,HP,761,1.33,0.92,,,,,
,,,NGONDO Winright K,APC,183,0.32,0.22,,,,,
,,,,,"57,258",100,69.32,0,0,"57,258","82,600",69.32
,,080 Matero,SATA Michael M.C,PF,"34,033",62.46,46.43,,,,,
,,,MWANAWASA Levy,MMD,"11,637",21.36,15.88,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","7,223",13.26,9.85,,,,,
,,,MIYANDA Godfrey K,HP,652,1.2,0.89,,,,,
,,,NGONDO Winright K,APC,119,0.22,0.16,,,,,
,,,,,"53,664",98.48,73.21,826,1.52,"54,490","73,303",74.34
,,081 Munali,SATA Michael M.C,PF,"33,524",55.45,41.26,,,,,
,,,MWANAWASA Levy,MMD,"13,456",22.26,16.56,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","11,461",18.96,14.1,,,,,
,,,MIYANDA Godfrey K,HP,897,1.48,1.1,,,,,
,,,NGONDO Winright K,APC,190,0.31,0.23,,,,,
,,,,,"59,528",98.47,73.26,927,1.53,"60,455","81,255",74.4
NORTHERN,CHILUBI,082 Chilubi,SATA Michael M.C,PF,"12,469",63.04,44.6,,,,,
,,,MWANAWASA Levy,MMD,"5,399",27.3,19.31,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,097",5.55,3.92,,,,,
,,,MIYANDA Godfrey K,HP,231,1.17,0.83,,,,,
,,,NGONDO Winright K,APC,111,0.56,0.4,,,,,
,,,,,"19,307",97.61,69.06,473,2.39,"19,780","27,957",70.75
,,083 Chinsali,MWANAWASA Levy,MMD,"8,070",48.81,32.99,,,,,
,,,SATA Michael M.C,PF,"7,655",46.3,31.29,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",530,3.21,2.17,,,,,
,,,MIYANDA Godfrey K,HP,176,1.06,0.72,,,,,
,,,NGONDO Winright K,APC,103,0.62,0.42,,,,,
,,,,,"16,534",100,67.59,0,0,"16,534","24,462",67.59
,CHINSALI,084 Shiwang ‰Ûªandu,SATA Michael M.C,PF,"7,721",65.11,45.27,,,,,
,,,MWANAWASA Levy,MMD,"3,479",29.34,20.4,,,,,
,,,NGONDO Winright K,APC,257,2.17,1.51,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",246,2.07,1.44,,,,,
,,,MIYANDA Godfrey K,HP,156,1.32,0.91,,,,,
,,,,,"11,859",100,69.53,0,0,"11,859","17,057",69.53
,ISOKA,085 Isoka East,MWANAWASA Levy,MMD,"10,433",77.46,64.29,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,515",11.25,9.34,,,,,
,,,SATA Michael M.C,PF,1101,8.17,6.78,,,,,
,,,MIYANDA Godfrey K,HP,97,0.72,0.6,,,,,
,,,NGONDO Winright K,APC,89,0.66,0.55,,,,,
,,,,,"13,235",98.26,81.55,234,1.74,"13,469","16,229",82.99
,,086 Isoka West,MWANAWASA Levy,MMD,"8,775",69.36,48.27,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,758",13.9,9.67,,,,,
,,,SATA Michael M.C,PF,"1,570",12.41,8.64,,,,,
,,,MIYANDA Godfrey K,HP,105,0.83,0.58,,,,,
,,,NGONDO Winright K,APC,94,0.74,0.52,,,,,
,,,,,"12,302",97.23,67.68,350,2.77,"12,652","18,178",69.6
NORTHERN,KAPUTA,088 Chimbamilonga,MWANAWASA Levy,MMD,"5,365",50.93,34.94,,,,,
,,,SATA Michael M.C,PF,"3,321",31.52,21.63,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,460",13.86,9.51,,,,,
,,,MIYANDA Godfrey K,HP,110,1.04,0.72,,,,,
,,,NGONDO Winright K,APC,77,0.73,0.5,,,,,
,,,,,"10,333",98.08,67.3,202,1.92,"10,535","15,353",68.62
,,089 Kaputa,MWANAWASA Levy,MMD,"6,097",48.13,35.26,,,,,
,,,SATA Michael M.C,PF,"4,539",35.83,26.25,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,527",12.05,8.83,,,,,
,,,MIYANDA Godfrey K,HP,132,1.04,0.76,,,,,
,,,NGONDO Winright K,APC,77,0.61,0.45,,,,,
,,,,,"12,372",97.66,71.55,296,2.34,"12,668","17,292",73.26
,KASAMA,090 Kasama Central,SATA Michael M.C,PF,"16,435",64.79,47.71,,,,,
,,,MWANAWASA Levy,MMD,"7,303",28.79,21.2,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",799,3.15,2.32,,,,,
,,,MIYANDA Godfrey K,HP,260,1.02,0.75,,,,,
,,,NGONDO Winright K,APC,141,0.56,0.41,,,,,
,,,,,"24,938",98.31,72.39,429,1.69,"25,367","34,450",73.63
,,091 Lukashya,SATA Michael M.C,PF,"13,166",55.63,39.37,,,,,
,,,MWANAWASA Levy,MMD,"8,817",37.25,26.37,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",595,2.51,1.78,,,,,
,,,MIYANDA Godfrey K,HP,272,1.15,0.81,,,,,
,,,NGONDO Winright K,APC,168,0.71,0.5,,,,,
,,,,,"23,018",97.25,68.84,651,2.75,"23,669","33,438",70.78
,LUWINGU,093 Lubansenshi,SATA Michael M.C,PF,"6,549",54.34,41.85,,,,,
,,,MWANAWASA Levy,MMD,"4,527",37.56,28.93,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",517,4.29,3.3,,,,,
,,,MIYANDA Godfrey K,HP,89,0.74,0.57,,,,,
,,,NGONDO Winright K,APC,54,0.45,0.35,,,,,
,,,,,"11,736",97.37,75,317,2.63,"12,053","15,649",77.02
,,094 Lupososhi,SATA Michael M.C,PF,8334,59.25,43.34,,,,,
,,,MWANAWASA Levy,MMD,4726,33.6,24.58,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",481,3.42,2.5,,,,,
,,,MIYANDA Godfrey K,HP,113,0.8,0.59,,,,,
,,,NGONDO Winright K,APC,72,0.51,0.37,,,,,
,,,,,13726,97.58,71.38,341,2.42,"14,067","19,230",73.15
NORTHERN,MBALA,095 Mbala,MWANAWASA Levy,MMD,"16,287",82.45,60.16,,,,,
,,,SATA Michael M.C,PF,"1,868",9.46,6.9,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",766,3.88,2.83,,,,,
,,,MIYANDA Godfrey K,HP,218,1.1,0.81,,,,,
,,,NGONDO Winright K,APC,145,0.73,0.54,,,,,
,,,,,"19,284",97.63,71.22,469,2.37,"19,753","27,075",72.96
,,097 Senga Hill,MWANAWASA Levy,MMD,"13,562",80.58,61.18,,,,,
,,,SATA Michael M.C,PF,"2,143",12.73,9.67,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",365,2.17,1.65,,,,,
,,,MIYANDA Godfrey K,HP,149,0.89,0.67,,,,,
,,,NGONDO Winright K,APC,142,0.84,0.64,,,,,
,,,,,"16,361",97.21,73.8,470,2.79,"16,831","22,169",75.92
,,098 Kanchibiya,SATA Michael M.C,PF,"9,421",67.18,45.46,,,,,
,,,MWANAWASA Levy,MMD,"3,391",24.18,16.36,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",982,7,4.74,,,,,
,,,NGONDO Winright K,APC,118,0.84,0.57,,,,,
,,,MIYANDA Godfrey K,HP,111,0.79,0.54,,,,,
,,,,,"14,023",100,67.67,0,0,"14,023","20,722",67.67
,,099 Mfuwe,MWANAWASA Levy,MMD,"3,897",46.61,31.48,,,,,
,,,SATA Michael M.C,PF,"3,310",39.59,26.74,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",806,9.64,6.51,,,,,
,,,NGONDO Winright K,APC,195,2.33,1.58,,,,,
,,,MIYANDA Godfrey K,HP,153,1.83,1.24,,,,,
,,,,,"8,361",100,67.55,0,0,"8,361","12,378",67.55
,,100 Mpika Central,SATA Michael M.C,PF,"9,378",60.11,41.8,,,,,
,,,MWANAWASA Levy,MMD,"5,271",33.79,23.49,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",753,4.83,3.36,,,,,
,,,NGONDO Winright K,APC,102,0.65,0.45,,,,,
,,,MIYANDA Godfrey K,HP,97,0.62,0.43,,,,,
,,,,,"15,601",100,69.54,0,0,"15,601","22,436",69.54
NORTHERN,MPOROKOSO,101 Lunte,MWANAWASA Levy,MMD,"6,510",50.14,38.96,,,,,
,,,SATA Michael M.C,PF,"5,866",45.18,35.11,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",158,1.22,0.95,,,,,
,,,MIYANDA Godfrey K,HP,105,0.81,0.63,,,,,
,,,NGONDO Winright K,APC,71,0.55,0.42,,,,,
,,,,,"12,710",97.89,76.07,274,2.11,"12,984","16,709",77.71
,,102 Mporokoso,SATA Michael M.C,PF,"4,155",48.18,34.28,,,,,
,,,MWANAWASA Levy,MMD,"3,309",38.37,27.3,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",794,9.21,6.55,,,,,
,,,MIYANDA Godfrey K,HP,92,1.07,0.76,,,,,
,,,NGONDO Winright K,APC,68,0.79,0.56,,,,,
,,,,,"8,418",97.61,69.46,206,2.39,"8,624","12,120",71.16
,NAKONDE,087 Nakonde,MWANAWASA Levy,MMD,"14,389",75.17,54.72,,,,,
,,,SATA Michael M.C,PF,"2,746",14.35,10.44,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",1013,5.29,3.85,,,,,
,,,MIYANDA Godfrey K,HP,228,1.19,0.87,,,,,
,,,NGONDO Winright K,APC,118,0.62,0.45,,,,,
,,,,,"18,494",96.61,70.33,648,3.39,"19,142","26,295",72.8
,MUNGWI,092 Malole,SATA Michael M.C,PF,"16,062",55.54,40.17,,,,,
,,,MWANAWASA Levy,MMD,"11,052",38.21,27.64,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",521,1.8,1.3,,,,,
,,,NGONDO Winright K,APC,330,1.14,0.83,,,,,
,,,MIYANDA Godfrey K,HP,258,0.89,0.65,,,,,
,,,,,"28,223",97.58,70.58,699,2.42,"28,922","39,988",72.33
,MPULUNGU,096 Mpulungu,MWANAWASA Levy,MMD,"13,004",73.51,50.57,,,,,
,,,SATA Michael M.C,PF,"2,144",12.12,8.34,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",1710,9.67,6.65,,,,,
,,,NGONDO Winright K,APC,211,1.19,0.82,,,,,
,,,MIYANDA Godfrey K,HP,183,1.03,0.71,,,,,
,,,,,"17,252",97.52,67.09,439,2.48,"17,691","25,713",68.8
NORTH-WESTERN,KABOMPO,104 Kabompo East,MWANAWASA Levy,MMD,"7,884",63.8,48.82,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","4,000",32.37,24.77,,,,,
,,,SATA Michael M.C,PF,83,0.67,0.51,,,,,
,,,MIYANDA Godfrey K,HP,70,0.57,0.43,,,,,
,,,NGONDO Winright K,APC,30,0.24,0.19,,,,,
,,,,,"12,067",97.65,74.73,291,2.35,"12,358","16,148",76.53
NORTH-WESTERN,KABOMPO,105 Kabompo West,MWANAWASA Levy,MMD,"7,747",63.45,47.67,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","3,723",30.49,22.91,,,,,
,,,MIYANDA Godfrey K,HP,159,1.3,0.98,,,,,
,,,SATA Michael M.C,PF,146,1.2,0.9,,,,,
,,,NGONDO Winright K,APC,111,0.91,0.68,,,,,
,,,,,"11,886",97.35,73.14,324,2.65,"12,210","16,250",75.14
,KASEMPA,106 Kasempa,MWANAWASA Levy,MMD,"11,535",83.43,54.13,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,421",10.28,6.67,,,,,
,,,SATA Michael M.C,PF,223,1.61,1.05,,,,,
,,,MIYANDA Godfrey K,HP,147,1.06,0.69,,,,,
,,,NGONDO Winright K,APC,45,0.33,0.21,,,,,
,,,,,"13,371",96.71,62.75,455,3.29,"13,826","21,310",64.88
,MUFUMBWE,107 Mufumbwe,MWANAWASA Levy,MMD,"11,218",77.9,57.12,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,710",18.82,13.8,,,,,
,,,MIYANDA Godfrey K,HP,240,1.67,1.22,,,,,
,,,SATA Michael M.C,PF,129,0.9,0.66,,,,,
,,,NGONDO Winright K,APC,104,0.72,0.53,,,,,
,,,,,"14,401",100,73.32,0,0,"14,401","19,641",73.32
,MWINILUNGA,108 Mwinilunga East,MWANAWASA Levy,MMD,"12,201",53.4,43,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","9,062",39.66,31.94,,,,,
,,,MIYANDA Godfrey K,HP,476,2.08,1.68,,,,,
,,,NGONDO Winright K,APC,211,0.92,0.74,,,,,
,,,SATA Michael M.C,PF,158,0.69,0.56,,,,,
,,,,,"22,108",96.76,77.91,740,3.24,"22,848","28,376",80.52
,,109 Mwinilunga West,MWANAWASA Levy,MMD,"11,642",61.54,49.51,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","6,248",33.03,26.57,,,,,
,,,MIYANDA Godfrey K,HP,200,1.06,0.85,,,,,
,,,SATA Michael M.C,PF,178,0.94,0.76,,,,,
,,,NGONDO Winright K,APC,166,0.88,0.71,,,,,
,,,,,"18,434",97.45,78.39,483,2.55,"18,917","23,516",80.44
,SOLWEZI,110 Solwezi Central,MWANAWASA Levy,MMD,"16,072",69.12,46.4,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","4,204",18.08,12.14,,,,,
,,,SATA Michael M.C,PF,1859,7.99,5.37,,,,,
,,,MIYANDA Godfrey K,HP,264,1.14,0.76,,,,,
,,,NGONDO Winright K,APC,108,0.46,0.31,,,,,
,,,,,"22,507",96.79,64.97,746,3.21,"23,253","34,640",67.13
,,111 Solwezi East,MWANAWASA Levy,MMD,"6,734",69.55,42.06,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,348",24.25,14.67,,,,,
,,,MIYANDA Godfrey K,HP,159,1.64,0.99,,,,,
,,,SATA Michael M.C,PF,109,1.13,0.68,,,,,
,,,NGONDO Winright K,APC,58,0.6,0.36,,,,,
,,,,,"9,408",97.17,58.76,274,2.83,"9,682","16,010",60.47
NORTH-WESTERN,,112 Solwezi West,MWANAWASA Levy,MMD,"12,888",74.36,53.25,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,831",16.33,11.7,,,,,
,,,MIYANDA Godfrey K,HP,341,1.97,1.41,,,,,
,,,SATA Michael M.C,PF,233,1.34,0.96,,,,,
,,,NGONDO Winright K,APC,83,0.48,0.34,,,,,
,,,,,"16,376",94.49,67.66,955,5.51,"17,331","24,204",71.6
,ZAMBEZI,113 Zambezi East,MWANAWASA Levy,MMD,"11,909",76.83,56.9,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,946",19.01,14.07,,,,,
,,,MIYANDA Godfrey K,HP,188,1.21,0.9,,,,,
,,,SATA Michael M.C,PF,155,1,0.74,,,,,
,,,NGONDO Winright K,APC,72,0.46,0.34,,,,,
,,,,,"15,270",98.52,72.95,230,1.48,"15,500","20,931",74.05
,,114Zambezi West,MWANAWASA Levy,MMD,"3,271",51.96,34.94,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,712",43.08,28.97,,,,,
,,,MIYANDA Godfrey K,HP,65,1.03,0.69,,,,,
,,,NGONDO Winright K,APC,52,0.83,0.56,,,,,
,,,SATA Michael M.C,PF,43,0.68,0.46,,,,,
,,,,,"6,143",97.59,65.62,152,2.41,"6,295","9,362",67.24
,CHAVUMA,103 Chavuma,MWANAWASA Levy,MMD,"8,089",71.27,56.7,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","3,050",26.87,21.38,,,,,
,,,SATA Michael M.C,PF,70,0.62,0.49,,,,,
,,,MIYANDA Godfrey K,HP,69,0.61,0.48,,,,,
,,,NGONDO Winright K,APC,50,0.44,0.35,,,,,
,,,,,"11,328",99.81,79.4,22,0.19,"11,350","14,267",79.55
SOUTHERN,CHOMA,115 Choma Central,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","24,415",81.47,60.05,,,,,
,,,MWANAWASA Levy,MMD,"4,156",13.87,10.22,,,,,
,,,SATA Michael M.C,PF,913,3.05,2.25,,,,,
,,,MIYANDA Godfrey K,HP,368,1.23,0.91,,,,,
,,,NGONDO Winright K,APC,115,0.38,0.28,,,,,
,,,,,"29,967",100,73.71,0,0,"29,967","40,655",73.71
,,116 Mbabala,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","12,719",78.4,63.39,,,,,
,,,MWANAWASA Levy,MMD,"2,891",17.82,14.41,,,,,
,,,MIYANDA Godfrey K,HP,156,0.96,0.78,,,,,
,,,SATA Michael M.C,PF,54,0.33,0.27,,,,,
,,,NGONDO Winright K,APC,48,0.3,0.24,,,,,
,,,,,"15,868",97.81,79.08,355,2.19,"16,223","20,066",80.85
SOUTHERN,CHOMA,117 Pemba,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","12,713",79.77,63.92,,,,,
,,,MWANAWASA Levy,MMD,"2,359",14.8,11.86,,,,,
,,,MIYANDA Godfrey K,HP,282,1.77,1.42,,,,,
,,,NGONDO Winright K,APC,73,0.46,0.37,,,,,
,,,SATA Michael M.C,PF,31,0.19,0.16,,,,,
,,,,,"15,458",96.99,77.72,480,3.01,"15,938","19,889",80.13
,GWEMBE,118 Gwembe,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","12,709",82.56,68.95,,,,,
,,,MWANAWASA Levy,MMD,"1,877",12.19,10.18,,,,,
,,,MIYANDA Godfrey K,HP,163,1.06,0.88,,,,,
,,,SATA Michael M.C,PF,139,0.9,0.75,,,,,
,,,NGONDO Winright K,APC,108,0.7,0.59,,,,,
,,,,,"14,996",97.41,81.36,398,2.59,"15,394","18,431",83.52
,KALOMO,119 Dundumwezi,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","14,696",88.83,66.82,,,,,
,,,MWANAWASA Levy,MMD,669,4.04,3.04,,,,,
,,,MIYANDA Godfrey K,HP,463,2.8,2.11,,,,,
,,,SATA Michael M.C,PF,136,0.82,0.62,,,,,
,,,NGONDO Winright K,APC,101,0.61,0.46,,,,,
,,,,,"16,065",97.1,73.04,479,2.9,"16,544","21,994",75.22
