"","constituency","Released on Website","Total Registered Voters","Total Votes Cast","Total Votes Rejected","Turnout","registered","cast","rejected","valid_votes","turnout","valid_turnout","pct_rejected","province","district"
"143","Shangombo","Fri, 26 Aug 2016 17:08:21 +0200","29,604","16,038","396","54.18%",29604,16038,396,15642,0.541751114714228,0.528374543980543,0.0246913580246914,"Western","Shangombo"
"144","Shiwan'gandu","Fri, 26 Aug 2016 16:10:56 +0200","31,088","18,114","550","58.27%",31088,18114,550,17564,0.58266855378281,0.56497683993824,0.0303632549409297,"Muchinga","Shiwan'gandu"
"145","Siavonga","Fri, 26 Aug 2016 16:33:50 +0200","25,137","18,912","406","75.24%",25137,18912,406,18506,0.752357083184151,0.73620559334845,0.0214678510998308,"Southern","Siavonga"
"146","Sikongo","Fri, 26 Aug 2016 18:30:05 +0200","23,109","13,290","292","57.51%",23109,13290,292,12998,0.575100610151889,0.562464840538318,0.0219714070729872,"Western","Sikongo"
"147","Sinazongwe","Fri, 26 Aug 2016 16:34:33 +0200","59,544","43,516","929","73.08%",59544,43516,929,42587,0.730820905548838,0.715218997715975,0.0213484695284493,"Southern","Sinazongwe"
"148","Sinda","Fri, 26 Aug 2016 14:37:48 +0200","29,154","16,140","695","55.36%",29154,16140,695,15445,0.553611854291006,0.529772929958153,0.0430607187112763,"Eastern","Sinda"
"149","Sioma","Fri, 26 Aug 2016 18:24:38 +0200","23,262","12,467","628","53.59%",23262,12467,628,11839,0.53593844037486,0.508941621528673,0.050372984679554,"Western","Sioma"
"150","Solwezi Central","Fri, 26 Aug 2016 15:51:12 +0200","81,344","46,777","625","57.51%",81344,46777,625,46152,0.575051632572777,0.567368214004721,0.0133612672894799,"North-Western","Solwezi"
"151","Solwezi East","Fri, 26 Aug 2016 15:50:05 +0200","23,032","9,922","373","43.08%",23032,9922,373,9549,0.430791941646405,0.41459708232025,0.0375932271719411,"North-Western","Solwezi"
"152","Solwezi West","Fri, 26 Aug 2016 15:50:51 +0200","44,756","26,842","1,254","59.97%",44756,26842,1254,25588,0.599740816873715,0.571722227187416,0.046717830266001,"North-Western","Solwezi"
"153","Vubwi","Fri, 26 Aug 2016 14:37:48 +0200","18,441","9,307","415","50.47%",18441,9307,415,8892,0.504690634998102,0.482186432406052,0.0445900934780273,"Eastern","Vubwi"
"154","Wusakile","Fri, 26 Aug 2016 15:33:35 +0200","47,485","26,900","570","56.65%",47485,26900,570,26330,0.566494682531326,0.554490891860588,0.0211895910780669,"Copperbelt","Kitwe"
"155","Zambezi East","Fri, 26 Aug 2016 15:49:13 +0200","27,965","17,369","423","62.11%",27965,17369,423,16946,0.621097800822457,0.605971750402289,0.0243537336634233,"North-Western","Zambezi"
"156","Zambezi West","Fri, 26 Aug 2016 16:23:24 +0200","12,067","7,839","86","64.96%",12067,7839,86,7753,0.649622938592857,0.642496063644651,0.0109707870901901,"North-Western","Zambezi"
